source_id	source_name	human_classification	canonical_taxid	canonical_taxon_name	lookup_name
6336280f-6094-e511-814c-000c2902c387	Orthoflavivirus ntayaense	RG2	3048225	Orthoflavivirus ntayaense	Ntaya virus
649e60cd-5f94-e511-814c-000c2902c387	Orbivirus magninsulae	RG2	3431249	Orbivirus magninsulae	Cape Wrath virus
649e60cd-5f94-e511-814c-000c2902c387	Orbivirus magninsulae	RG2	3431249	Orbivirus magninsulae	Mykines virus
649e60cd-5f94-e511-814c-000c2902c387	Orbivirus magninsulae	RG2	3431249	Orbivirus magninsulae	Nugget virus
649e60cd-5f94-e511-814c-000c2902c387	Orbivirus magninsulae	RG2	3431249	Orbivirus magninsulae	Orbivirus magninsulae
65510c27-6094-e511-814c-000c2902c387	Orthobunyavirus angeloense	RG2	3052369	Orthobunyavirus angeloense	San Angelo orthobunyavirus
65510c27-6094-e511-814c-000c2902c387	Orthobunyavirus angeloense	RG2	3052369	Orthobunyavirus angeloense	San Angelo virus
65916bc1-5f94-e511-814c-000c2902c387	Elephantpox virus	RG2	160797	Elephantpox virus	Elephantpox virus
65e8ef1f-01e4-e711-8113-0050568253d3	Betabaculovirus cypomonellae	RG1	3047787	Betabaculovirus cypomonellae	Cydia pomonella granulovirus
65f956df-5f94-e511-814c-000c2902c387	Rhadinovirus humangamma8	RG2	3050300	Rhadinovirus humangamma8	Human gammaherpesvirus 8
65f956df-5f94-e511-814c-000c2902c387	Rhadinovirus humangamma8	RG2	3050300	Rhadinovirus humangamma8	Human herpesvirus 8
65f956df-5f94-e511-814c-000c2902c387	Rhadinovirus humangamma8	RG2	3436869	Kaposi sarcoma-associated herpesvirus	Kaposi's sarcoma-associated herpesvirus (KSHV)
66176e73-daba-e511-80e2-0050568253d3	Orthoflavivirus zikaense	RG2	3048459	Orthoflavivirus zikaense	Zika virus
6620072d-6094-e511-814c-000c2902c387	Lentivirus simimdef	RG2	3418654	Lentivirus simimdef	Lentivirus simimdef
6620072d-6094-e511-814c-000c2902c387	Lentivirus simimdef	RG2	3418654	Lentivirus simimdef	SIV
679d60cd-5f94-e511-814c-000c2902c387	Orthobunyavirus gamboaense	RG2	1552845	Calchaqui virus	Calchaqui orthobunyavirus
679d60cd-5f94-e511-814c-000c2902c387	Orthobunyavirus gamboaense	RG2	1933181	Alajuela orthobunyavirus	Alajuela orthobunyavirus
679d60cd-5f94-e511-814c-000c2902c387	Orthobunyavirus gamboaense	RG2	3052393	Orthobunyavirus gamboaense	Gamboa orthobunyavirus
679d60cd-5f94-e511-814c-000c2902c387	Orthobunyavirus gamboaense	RG2	3459228	Brus Laguna virus	Brus Laguna orthobunyavirus
67a6a8e0-9fe1-e711-8113-0050568253d3	Alphabaculovirus eppostvittanae	RG1	3047825	Alphabaculovirus eppostvittanae	Epiphyas postvittana nucleopolyhedrovirus
685675b5-5f94-e511-814c-000c2902c387	Morbillivirus canis	RG1	3052342	Morbillivirus canis	Canine distemper virus
685675b5-5f94-e511-814c-000c2902c387	Morbillivirus canis	RG1	3052342	Morbillivirus canis	Canine morbillivirus
68863203-6094-e511-814c-000c2902c387	Orthoflavivirus montanaense	RG2	3048206	Orthoflavivirus montanaense	Montana myotis leukoencephalitis virus
696d2a09-6094-e511-814c-000c2902c387	Norovirus norwalkense (murine norovirus 1)	RG1	223997	Murine norovirus 1	Norovirus norwalkense (murine norovirus 1)
697141f1-5f94-e511-814c-000c2902c387	Hapavirus lajoya	RG2	1972617	Hapavirus lajoya	La Joya hapavirus
6a1150e5-5f94-e511-814c-000c2902c387	Alphainfluenzavirus influenzae H7N9	RG3	333278	H7N9 subtype	Alphainfluenzavirus influenzae H7N9
6a4e0c27-6094-e511-814c-000c2902c387	Orthoflavivirus bravoense	RG2	3048300	Orthoflavivirus bravoense	Rio Bravo virus
6a5775b5-5f94-e511-814c-000c2902c387	Orthohantavirus caobangense	RG3	3052473	Orthohantavirus caobangense	Cao Bang orthohantavirus
6a5775b5-5f94-e511-814c-000c2902c387	Orthohantavirus caobangense	RG3	3052473	Orthohantavirus caobangense	Cao Bang virus
6ac46dbb-5f94-e511-814c-000c2902c387	Pestivirus suis	RG1	3052625	Orthopestivirus suis	Classical swine fever virus
6ac46dbb-5f94-e511-814c-000c2902c387	Pestivirus suis	RG1	3052625	Orthopestivirus suis	Hog cholera virus
